"","TGrepID","Question","mean_rating","sd","EntireSentence","PreceedingContext","FollowingContext"
"1","100252:39","what *t*-2's going on",0.676206896551724,0.384005336580323,"and we can't see her often enough *-1 to really know what *t*-2's going on.","###well, she stayed, she stayed in a temporary nursing home. until she was okay.###speakerb108.###oh.###speakera109.###you know, it's just,###but it's frightening to us because we live pretty far from her.###she's down in temple###speakerb110.###uh-huh.###speakera111.","###speakerb112.###um.###speakera113.###so, it's difficult,###it really is *?*###and we're all heading that way###and,###speakerb114.###yeah,###my, husband and i, we have been thinking about"
"2","100578:17","you know like, what are their plans after high school *t*-1, you know.",0.325294117647059,0.352936213200396,"you know like, what are their plans after high school *t*-1, you know.","###but then the follow-up the next day was,###i was kind of glad *-1 to see,###because it, it said that, you know,###yes###but for those students who *t*-1 are determined *-2 to do well anyway, that, you know, * handling a job was very possible. you know, and that it seemed *-3 to have more 0 * to do *t*-4 with other factors.###speakerb14.###speakera15.###speakerb16.###i think so too.###speakera17.","###and what's their home situation *t*-1.###you know that,###speakerb18.###the home is the key.###speakera19.###right.###speakerb20.###i think really is *?* because if the home, does not place a high priority on education###speakera21.###speakerb22."
"3","100627:16","what * to expect *t*-1 at home",0.473928571428571,0.45704638945779,"they don't know what * to expect *t*-1 at home.","###speakera37.###speakerb38.###it's what *t*-1's wrong with families###and if, if children come to school, yes, *-1 insecure and their mo-, biggest concern is survival both at home,###speakera39.###and society in general.###speakerb40.###speakera41.###right.###speakerb42.","###they don't feel secure there,###they don't know what *t*-1's going *-2 to happen just out front of their apartment complex.###speakera43.###right.###speakerb44.###for example that child that *t*-2 was shot *-1.###speakera45.###right.###speakerb46.###uh, how can they concentrate on schooling *t*-1?"
"4","100629:16","what *t*-1's going *-2 to happen just out front of their apartment complex",0.527142857142857,0.389404646654324,"they don't know what *t*-1's going *-2 to happen just out front of their apartment complex.","###it's what *t*-1's wrong with families###and if, if children come to school, yes, *-1 insecure and their mo-, biggest concern is survival both at home,###speakera39.###and society in general.###speakerb40.###speakera41.###right.###speakerb42.###they don't know what * to expect *t*-1 at home.###they don't feel secure there,","###speakera43.###right.###speakerb44.###for example that child that *t*-2 was shot *-1.###speakera45.###right.###speakerb46.###uh, how can they concentrate on schooling *t*-1?###i agree with you,###speakera47."
"5","100712:69","and, uh, if we have children who *t*-1 are not getting their education, for one reason or another, then what are we going *-2 to do *t*-3 with them?",0.216875,0.353774292452123,"and, uh, if we have children who *t*-1 are not getting their education, for one reason or another, then what are we going *-2 to do *t*-3 with them?","###and occasionally that happens.###speakera75.###right.###speakerb76.###but, it is frightening### b-, because, uh, education is the key to our future###speakera77.###yes,###it certainly is *?*.###speakerb78.","###speakera79.###yeah.###that's right.###speakerb80.###what *t*-1's going *-2 to happen to them?###are they going *-1 to be able *-2 to, uh, work at other kind of menial jobs###or are they going *-1 to be the thieves and the people in prison.###speakera81.###yeah.###speakerb82."
"6","100717:4","what *t*-1's going *-2 to happen to them?",0.476363636363636,0.452522511458406,"what *t*-1's going *-2 to happen to them?","### b-, because, uh, education is the key to our future###speakera77.###yes,###it certainly is *?*.###speakerb78.###and, uh, if we have children who *t*-1 are not getting their education, for one reason or another, then what are we going *-2 to do *t*-3 with them?###speakera79.###yeah.###that's right.###speakerb80.","###are they going *-1 to be able *-2 to, uh, work at other kind of menial jobs###or are they going *-1 to be the thieves and the people in prison.###speakera81.###yeah.###speakerb82.###and our prisons are filling up faster then we can build them.###speakera83.###right.###speakerb84.###that's no good."
"7","101164:50","why the government makes the decisions 0 they do *t*-1 *t*-2",0.255666666666667,0.337594771708712,"well and i would think, you know, 0 since big business is supposedly why the government makes the decisions 0 they do *t*-1 *t*-2 you know, the, the people that *t*-3 work in big business have families","###right.###right.###speakera134.###but i, i do think 0 it's an area that *t*-1 needs *-2 to be looked at *-3 and improved *-3 because more of us are going *-4 to have *-5 to work.###speakerb135.###uh-huh.###uh-huh.###speakera136.###two income families i think 0 *t*-1 are here *-2 to stay.###speakerb137.","###speakera138.###uh-huh.###speakerb139.###speakera140.###right.###speakerb141.###they have children.###speakera142.###yeah.###speakerb143."
"8","101503:16","what, what does it have *t*-1 in it?",0.852222222222222,0.321330973874667,"what, what does it have *t*-1 in it?","###speakera107.###and then,###speakerb108.###yeah,###because i, when i make this chicken casserole *t*-2 i, it, it makes a real big casserole and then another one that i freeze *t*-1.###speakera109.###uh-huh.###speakerb110.### so, or i give it to my mom and dad if i know 0 we're not going *-1 to eat,###speakera111.","###speakerb112.###speakera113.###speakerb114.###it's jus-,###you can use chicken or turkey,###because my mom started *-1 making it like right after thanksgiving and using the leftover turkey.###speakera115.###uh-huh.###speakerb116.###speakera117."
"9","101809:5","what else *t*-1 has changed between the sixties and the eighties and the nineties?",0.4315,0.365200377586707,"what else *t*-1 has changed between the sixties and the eighties and the nineties?","###speakerb37.###s-,###speakera38.###um, perhaps there's less of the middle range then there was *?*.###speakerb39.###yeah.###it's like people are starting *-1 to give up hope###and they start out *-1 very poor.###* let's see,###that's a bad tangent 0 * to get on *t*-1.","###speakera40.###uh,###speakerb41.###no.###speakera42.###i think, uh, 0 m-, in my situation,###i have three children###and we're, uh, home schooling.###so, education, you know, things that *t*-1 relate t-, to education, um, are things that i think about *t*-2 a lot.###um, i think 0 that, and i think 0 that involves social changes a lot."
"10","102292:4","what have you seen *t*-1 lately?",0.28,0.307516937202923,"what have you seen *t*-1 lately?","###speakera129.###oh, that's good.###yes,###i've been there.###speakerb1.###you ready?###speakera2.###yeah.###speakerb3.###okay.","###speakera4.###well, uh, it's funny,###when i tried, *-1 to make the call the other days *t*-2,###speakerb5.###speakera6.###i thought,###speakerb7.###speakera8.###i hadn't seen anything since dances with wolves###but today i went *-1 to see regarding with henry."
"11","103081:17","what it's done *t*-1 to buildings",0.338275862068966,0.405339971642123,"like you've seen what it's done *t*-1 to buildings even where it's really bad *t*-2.","###um, i guess.### from, from something that the car was, uh, was giving *t*-1,###speakerb26.###i think 0 it gives off, uh, in the emissions, it gives off gases which *t*-1 combine up in the atmosphere, uh, and form a, a weak acid.###speakera27.###yes,###and,###speakerb28.###it just makes the rain fall on the acid side###and after a period of time, i think 0 *t*-1 that accumulates in, uh, trees because they take it up through their roots, as well as it landing on the leaves, on surfaces,","###speakera29.###yes.###speakerb30.###speakera31.###yeah.###speakerb32.###what *t*-1's interesting, several years ago, i took a course, uh, on, uh,###well, it was actually, it was put *-2 on by the power companies and, about the various sources of energy and how much pollution there was *t*-1, and there wasn't *t*-1 from various kinds of, of energy.###and, uh, at that point in time, one person that *t*-1 was a speaker brought up the topic of acid rain###and it was kind of pooh-poohed *-1, you know."
"12","103191:24","what the future will hold *t*-2. uh, as far as energy goes",0.247931034482759,0.341575962168058,"but, uh, who *t*-1 knows what the future will hold *t*-2. uh, as far as energy goes,","###speakera61.###yes.###speakerb62.###it's just 0 we can't control it.###right now it *exp*-1 takes more energy *ich*-2 * to cause fusion to occur then you get *?* out,###so, it isn't *?*,###not at all,###and you can't control it unless you gotten a huge electromagnetic field,###so that's not going *-1 to work.###at least not now.","### i, i think, 0 with * solving some of the energy, future energy problems, we'll probably solve some of the pollution problems as well.###speakera63.###uh, i hope so.###speakerb64.###i do to.###i like *-1 to be optimistic,###i don't like *-1 to be pessimistic about these things.###speakera65.###well, i do think, um,###i mean, you've already mentioned several things, i think, uh, just the change in attitude and the fact that more people are aware 0 there is a problem and more people are interested in, uh,"
"13","103429:6","and what is he going *-1 to do *t*-2 prison to the other people?",0.212941176470588,0.365577705588743,"and what is he going *-1 to do *t*-2 prison to the other people?","###speakera72.###yeah.###speakerb73.###i really would have a hard time *ich*-1, especially if i was on a jury, *-2 not wanting him to, you know, be executed *-3.###yeah.###speakera74.###hang?.###speakerb75.###because, i mean, that's just awful.###speakera76.","###speakerb77.###right.###well, i have a hun-, i have a hunch that, you know, the other prisoners aren't going *-1 to be too happy with him anyway.###either, i mean, you know they,###i don't know,### from, from what i hear *t*-1 about jail life * is not any way 0 * to live *t*-2.###speakera78.###right.###speakerb79.###but, uh, i don't know."
"14","103964:16","what *-2 to expect *t*-1",0.491379310344828,0.432705146540187,"i didn't know what *-2 to expect *t*-1.","###speakerb28.###yeah.###speakera29.###so, uh, you know, we, when we go *-3 dump, actually when we go *-1 dump our things *t*-2, oh, we collect newspapers, too, and then take them,###* seems like there's a pretty well, there's a p-, pretty continual flow of people coming and dumping glass and dumping plastics###speakerb30.###uh-huh.###speakera31.###so that's kind of encouraging.### i didn't know, you know, i didn't know if we started *-1 to do that.","###speakerb32.###yeah,###well i'll have *-1 to say 0 i'm, i'm, the only one 0 i'm good at *t*-2 at this point is the newspaper. uh, * taking that to the boy scouts and my aluminum cans uh, * getting rid *-3 of those,###speakera33.###right.###speakerb34.###but on the plastic, i have, uh, i don't have any habits there yet###and i'm, * guess 0 i'm waiting for the city to, to push me in that direction### but, but, it just seems like on the larger scale that, you know, the, we always talk about *t*-1 in our society is that economic strife things###speakera35."
"15","104036:36","how, over the next year, this all works out *t*-2",0.2784,0.411346164035435,"well, it *exp*-1 will be interesting * to see how, over the next year, this all works out *t*-2 because, like on the, uh, grass, i'm, i know 0 your husband, uh, doesn't really like the paper sacks.","###well, i mean the,###you really look and say 0 a lot of the things 0 we need *-3 to do *t*-1, we were doing *t*-2###and we had all the mechanisms in place with the fold up paper cartons, the wood, uh, racks which now, basically, you could turn *t*-1 them into the plastic ones that *t*-2 would hold, uh, twenty-four bottles.### and, and, uh, uh, i'm not really say going back to good old days,###but certainly we were doing things the way 0 we think 0 we should do them now *t*-1.###speakera59.###yeah,###yeah,###well,###speakerb60.","###speakera61.###no,###he doesn't like the paper sacks### and, uh, but he, but, you know, he likes *-1 to pick the grass up, too.###he doesn't, doesn't,###speakerb62.###yeah.###speakera63.###speakerb64.### i'm the, i'm the same way because otherwise, uh,"
