workerid,proliferate.condition,time_in_minutes,error
204,experiment_07,12.68285,
196,experiment_07,19.1114,
167,experiment_07,4.694883333333333,
408,experiment_07,13.9417,
219,experiment_07,14.985916666666666,
246,experiment_07,20.784566666666667,
374,experiment_07,13.8492,
394,experiment_07,41.97205,
539,experiment_07,7.424033333333333,
481,experiment_07,23.333033333333333,
271,experiment_07,35.84096666666667,
452,experiment_07,9.57185,
429,experiment_07,16.778783333333333,
422,experiment_07,8.357716666666667,
255,experiment_07,13.676333333333334,
359,experiment_07,22.009216666666667,
346,experiment_07,9.586383333333334,
493,experiment_07,11.431766666666666,
510,experiment_07,22.96291666666667,
386,experiment_07,18.363083333333332,
183,experiment_07,9.871883333333331,
320,experiment_07,16.56315,
464,experiment_07,15.8494,
230,experiment_07,8.99915,
441,experiment_07,13.90225,
279,experiment_07,7.883066666666667,
194,experiment_06,12.039516666666668,
463,experiment_06,13.17615,
215,experiment_06,11.670566666666666,
217,experiment_06,6.471166666666667,
506,experiment_06,12.091466666666667,
384,experiment_06,21.399833333333333,
436,experiment_06,20.256933333333333,
368,experiment_06,17.364883333333335,
303,experiment_06,20.2392,
228,experiment_06,22.81915,
166,experiment_06,7.05485,
533,experiment_06,27.051116666666665,
478,experiment_06,13.3746,
421,experiment_06,12.09865,
288,experiment_06,19.441633333333332,
278,experiment_06,15.657316666666668,
371,experiment_06,31.116266666666668,
203,experiment_06,16.34915,
492,experiment_06,11.4531,
406,experiment_06,10.425433333333334,
244,experiment_06,20.2291,
343,experiment_06,13.84675,
254,experiment_06,17.2123,
314,experiment_06,8.528766666666666,
330,experiment_06,18.26185,
355,experiment_06,16.06955,
519,experiment_06,14.206233333333332,
435,experiment_03,20.259383333333332,
517,experiment_03,6.909483333333333,
175,experiment_03,10.787733333333334,
348,experiment_03,14.427233333333334,
318,experiment_03,21.414616666666667,
367,experiment_03,12.81795,
393,experiment_03,19.13296666666667,
312,experiment_03,11.242183333333331,
237,experiment_03,32.29675,
500,experiment_03,18.869033333333338,
490,experiment_03,29.665966666666662,
287,experiment_03,17.2176,
201,experiment_03,22.69235,
477,experiment_03,23.754666666666665,
225,experiment_03,16.014516666666665,
526,experiment_03,15.02395,
448,experiment_03,32.81021666666667,
193,experiment_03,15.08905,
249,experiment_03,38.71788333333333,
462,experiment_03,9.68485,
417,experiment_03,16.850466666666666,
299,experiment_03,11.140433333333334,
403,experiment_03,15.648416666666666,
164,experiment_03,15.717666666666666,
277,experiment_03,20.365483333333337,
327,experiment_03,10.7389,
516,experiment_03,11.158333333333331,
341,experiment_02,26.286,
170,experiment_02,14.1595,
434,experiment_02,13.47735,
350,experiment_02,9.226516666666669,
181,experiment_02,10.756483333333334,
447,experiment_02,10.078166666666666,
420,experiment_02,13.701866666666668,
461,experiment_02,22.596316666666667,
364,experiment_02,13.17075,
229,experiment_02,12.546066666666666,
265,experiment_02,10.29425,
381,experiment_02,12.942683333333331,
498,experiment_02,37.785666666666664,
308,experiment_02,13.806783333333334,
200,experiment_02,31.497083333333332,
218,experiment_02,14.913433333333334,
476,experiment_02,16.37515,
505,experiment_02,14.5064,
289,experiment_02,25.485533333333333,
276,experiment_02,13.75695,
317,experiment_02,19.657683333333335,
543,experiment_02,12.42165,
397,experiment_02,31.74085,
513,experiment_02,12.308866666666669,
372,experiment_02,12.649016666666666,
197,experiment_02,10.5591,
485,experiment_02,15.500683333333331,
556,experiment_08,14.029366666666666,
531,experiment_08,11.4161,
366,experiment_08,13.511783333333334,
339,experiment_08,10.418833333333334,
484,experiment_08,18.38765,
559,experiment_08,15.76095,
190,experiment_08,9.550816666666666,
380,experiment_08,32.27406666666667,
301,experiment_08,16.754383333333333,
444,experiment_08,12.508633333333334,
199,experiment_08,17.255733333333332,
250,experiment_08,13.803966666666666,
161,experiment_08,13.78865,
542,experiment_08,9.290283333333331,
554,experiment_08,9.074366666666666,
568,experiment_08,24.69685,
508,experiment_08,21.59,
180,experiment_08,61.30675,
459,experiment_08,16.868666666666666,
273,experiment_08,12.218666666666667,
263,experiment_08,17.216216666666668,
560,experiment_08,25.692233333333338,
227,experiment_08,20.143083333333333,
521,experiment_08,48.77996666666667,
236,experiment_08,29.357066666666668,
334,experiment_08,10.861033333333332,
211,experiment_08,22.5522,
284,experiment_08,17.010383333333333,
419,experiment_01,10.3946,
363,experiment_01,12.635116666666669,
245,experiment_01,6.22815,
407,experiment_01,12.90545,
172,experiment_01,7.95175,
195,experiment_01,9.432916666666667,
333,experiment_01,23.11425,
474,experiment_01,40.2326,
561,experiment_01,45.3981,
432,experiment_01,13.001883333333334,
307,experiment_01,19.390483333333332,
209,experiment_01,32.175266666666666,
