,response,is_strange,workerid,proliferate.condition,order,slide_number_in_experiment,tgrep_id,catch_trials,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.gender,subject_information.language,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error,Sentence,HaveNeedTo,Finite,ModalPresent,QuestionType,DegreeQ,SubjectAuxInv,WhAll,MatrixNegPresent,EmbeddedNegPresent,QuantifiedSubject,QuantifiedPredicate,Wh,MatrixNegation,MatrixDoSupport,MatrixPred1,MatrixPred2,MatVerbPart,Modal,EmbeddedNegation,Verb1,Verb2,Verb3,DeterminerSubject,DeterminerNonSubject,FullWhPhrase,DeterminerSubjPresent,DeterminerNonSubjPresent,WhNode,WhParse,Question,SentenceParse,WhPhaseType,IdentityQ
0,Mary,Mary,38,condition1,,1,bot_check,[],41.0,Yes,"If I checked ""none of the above"" I was still forced to select one of the options to proceed, even if none of the options were right.  That was confusing.",4,1,1,Other,English,Firefox,Linux,768,1366,6.99338333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,all,False,38,condition1,a-the-all-some,3,example1,[],41.0,Yes,"If I checked ""none of the above"" I was still forced to select one of the options to proceed, even if none of the options were right.  That was confusing.",4,1,1,Other,English,Firefox,Linux,768,1366,6.99338333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,a,False,38,condition1,a-the-all-some,4,example2,[],41.0,Yes,"If I checked ""none of the above"" I was still forced to select one of the options to proceed, even if none of the options were right.  That was confusing.",4,1,1,Other,English,Firefox,Linux,768,1366,6.99338333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,all,False,38,condition1,a-the-all-some,5,example1,[],41.0,Yes,"If I checked ""none of the above"" I was still forced to select one of the options to proceed, even if none of the options were right.  That was confusing.",4,1,1,Other,English,Firefox,Linux,768,1366,6.99338333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,the,False,38,condition1,a-the-all-some,6,example4,[],41.0,Yes,"If I checked ""none of the above"" I was still forced to select one of the options to proceed, even if none of the options were right.  That was confusing.",4,1,1,Other,English,Firefox,Linux,768,1366,6.99338333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,the,False,38,condition1,a-the-all-some,8,51293:9,[],41.0,Yes,"If I checked ""none of the above"" I was still forced to select one of the options to proceed, even if none of the options were right.  That was confusing.",4,1,1,Other,English,Firefox,Linux,768,1366,6.99338333333333,,"uh, who's the last one *t*-1.",no,yes,no,root,no,yes,,,,one,,who,,,,,,,,'s,last,,the last one,,,yes,,,(WP who),"uh, who's the last one *t*-1.","(TOP (SBARQ (INTJ (UH Uh)) (, ,) (WHNP-1 (WP who)) (SQ (BES 's) (NP-SBJ (DT the) (JJ last) (NN one)) (NP-PRD (-NONE- *T*-1))) (. .) (-DFL- E_S)))",monomorphemic,no
6,the,False,38,condition1,a-the-all-some,9,40349:14,[],41.0,Yes,"If I checked ""none of the above"" I was still forced to select one of the options to proceed, even if none of the options were right.  That was confusing.",4,1,1,Other,English,Firefox,Linux,768,1366,6.99338333333333,,"you know, how can you help *-1 depending on the day care center *t*-2, you know,",no,,yes,root,no,yes,,,,,,how,,,,,,can,,help,depending,know,,the day care center,,no,no,,(WRB how),"you know, how can you help *-1 depending on the day care center *t*-2, you know,","(TOP (SBARQ (PRN (S (NP-SBJ (PRP You)) (VP (VBP know))) (, ,)) (WHADVP-2 (WRB how)) (SQ (MD can) (NP-SBJ-1 (PRP you)) (VP (VB help) (S (NP-SBJ (-NONE- *-1)) (VP (VBG depending) (PP (IN on) (NP (DT the) (NN day) (NN care) (NN center))) (ADVP-MNR (-NONE- *T*-2)))) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know)))))) (, ,) (-DFL- E_S)))",monomorphemic,no
7,a,True,38,condition1,a-the-all-some,10,60430:4,[],41.0,Yes,"If I checked ""none of the above"" I was still forced to select one of the options to proceed, even if none of the options were right.  That was confusing.",4,1,1,Other,English,Firefox,Linux,768,1366,6.99338333333333,,who *t*-1 knows.,no,yes,no,root,no,yes,,,,,,who,,,,,,,,knows,,,,,,no,,,(WP who),who *t*-1 knows.,(TOP (SBARQ (WHNP-1 (WP who)) (SQ (NP-SBJ (-NONE- *T*-1)) (VP (VBZ knows))) (. .) (-DFL- E_S))),monomorphemic,no
8,the,True,38,condition1,a-the-all-some,11,37508:7,[],41.0,Yes,"If I checked ""none of the above"" I was still forced to select one of the options to proceed, even if none of the options were right.  That was confusing.",4,1,1,Other,English,Firefox,Linux,768,1366,6.99338333333333,,well how do you think 0 the royals are going *-1 to do *t*-2?,no,yes,no,root,no,yes,,,,,,how,,,,,,,,do,think,are,the royals,the royals,,no,no,,(WRB how),well how do you think 0 the royals are going *-1 to do *t*-2?,(TOP (SBARQ (INTJ (UH well)) (WHADVP-2 (WRB how)) (SQ (VBP do) (NP-SBJ (PRP you)) (VP (VB think) (SBAR (-NONE- 0) (S (NP-SBJ-1 (DT the) (NNPS Royals)) (VP (VBP are) (VP (VBG going) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB do) (ADVP-MNR (-NONE- *T*-2))))))))))) (. ?) (-DFL- E_S))),monomorphemic,no
9,the,False,38,condition1,a-the-all-some,12,102105:4,[],41.0,Yes,"If I checked ""none of the above"" I was still forced to select one of the options to proceed, even if none of the options were right.  That was confusing.",4,1,1,Other,English,Firefox,Linux,768,1366,6.99338333333333,,"how do you usually find a, a new restaurant *t*-1?",no,yes,no,root,no,yes,,,,,,how,,,,,,,,do,usually,find,,a,,no,yes,,(WRB How),"how do you usually find a, a new restaurant *t*-1?","(TOP (SBARQ (WHADVP-1 (WRB How)) (SQ (VBP do) (NP-SBJ (PRP you)) (ADVP-TMP (RB usually)) (VP (VB find) (EDITED (RM (-DFL- \[)) (NP-UNF (DT a)) (, ,) (IP (-DFL- \+))) (NP (DT a) (RS (-DFL- \])) (JJ new) (NN restaurant)) (ADVP-MNR (-NONE- *T*-1)))) (. ?) (-DFL- E_S)))",monomorphemic,no
10,the,False,38,condition1,a-the-all-some,13,118088:9,[],41.0,Yes,"If I checked ""none of the above"" I was still forced to select one of the options to proceed, even if none of the options were right.  That was confusing.",4,1,1,Other,English,Firefox,Linux,768,1366,6.99338333333333,,"uh, how do you feel about taxes *t*-1?",no,yes,no,root,no,yes,,,,,,how,,,,,,,,do,feel,,,,,no,no,,(WRB how),"uh, how do you feel about taxes *t*-1?","(TOP (SBARQ (INTJ (UH Uh)) (, ,) (WHADVP-1 (WRB how)) (SQ (VBP do) (NP-SBJ (PRP you)) (VP (VB feel) (PP (IN about) (NP (NNS taxes))) (ADVP-MNR (-NONE- *T*-1)))) (. ?) (-DFL- E_S)))",monomorphemic,no
11,a,True,38,condition1,a-the-all-some,14,103191:13,[],41.0,Yes,"If I checked ""none of the above"" I was still forced to select one of the options to proceed, even if none of the options were right.  That was confusing.",4,1,1,Other,English,Firefox,Linux,768,1366,6.99338333333333,,"but, uh, who *t*-1 knows what the future will hold *t*-2. uh, as far as energy goes,",no,,yes,root,no,yes,,,,,,who,,,,,,will,,knows,hold,as,the future,the future,,no,no,,(WP who),"but, uh, who *t*-1 knows what the future will hold *t*-2. uh, as far as energy goes,","(TOP (SBARQ (CC But) (, ,) (INTJ (UH uh)) (, ,) (WHNP-1 (WP who)) (SQ (NP-SBJ (-NONE- *T*-1)) (VP (VBZ knows) (SBAR (WHNP-2 (WP what)) (S (NP-SBJ (DT the) (NN future)) (VP (MD will) (VP (VB hold) (NP (-NONE- *T*-2)) (. .) (INTJ (UH Uh)) (, ,) (ADVP (ADVP (RB as) (RB far)) (SBAR (IN as) (S (NP-SBJ (NN energy)) (VP (VBZ goes))))))))))) (, ,) (-DFL- E_S)))",monomorphemic,no
