workerid,proliferate.condition,time_in_minutes,error
72,condition1,8.806366666666667,
68,condition1,9.104883333333332,
48,condition1,9.881066666666667,
74,condition1,5.718416666666666,
70,condition1,7.179283333333333,
65,condition1,13.233366666666669,
71,condition1,11.776,
53,condition1,9.909333333333333,
44,condition1,14.1536,
62,condition1,8.366483333333333,
60,condition1,14.797183333333331,
50,condition1,9.541783333333331,
64,condition1,7.969266666666667,
54,condition1,10.18775,
52,condition1,7.602133333333334,
61,condition1,12.751983333333332,
49,condition1,5.6180666666666665,
73,condition1,6.2587166666666665,
47,condition1,9.39035,
75,condition1,4.168266666666667,
43,condition1,8.422166666666667,
56,condition1,10.54805,
76,condition1,6.41685,
63,condition1,8.499866666666666,
67,condition1,11.079766666666666,
45,condition1,7.3992,
66,condition1,13.22285,
58,condition1,6.845833333333333,
69,condition1,10.42785,
