TGrepID	EntireSentence	PreceedingContext	Wh	ModalPresent	Finite	Question	Modal	Matrix	punct	AResponse	AllResponse	TheResponse
144833:23	i don't know, uh, how a few bucks can be worth * shooting somebody *t*-1	###uh, it *exp*-1 was really frightening * to, think that, uh, it *exp*-2's not even safe * to drive onto the tollway, or for those people in the tollbooth.###speakera55.###speakerb56.###speakera57.###speakerb58.###speakera59.###speakerb60.###uh, i never thought about someone robbing those,###but, apparently, they do.###speakera61.	how	yes		how a few bucks can be worth * shooting somebody *t*-1	yes	i don't know  uh 	,	...what is a way...	...what is every way...	...what is the way...
66002:17	because we never know when we might, you know, get laid *-3 off or something *t*-4.	###uh-huh.###speakerb53.###speakera54.###uh-huh.###speakerb55.###just i fe-, i feel like even that little bit helps.###speakera56.###right.###well, you know, the way 0 the economy's going *t*-1 and inflation and the recession and all that, i think 0 we, we really need *-2 to try *-3 to stay out of debt as much as possible.### that's, that's why i've, i've really started *-1 to try *-2 to, to pay off mine and get out of debt *t*-3.	when	yes		when we might, you know, get laid *-3 off or something *t*-4	yes	because we never know  	.	...what is a time...	...what is every time...	...what is the time...
8085:15	* being told what * to do *t*-1 is worse.	###speakera135.###speakerb136.###speakera137.###yeah.###no,###i know which *t*-1 is worse.###speakerb138.###yeah,###i guess so.###yeah,	what	no	no	what * to do *t*-1	yes	* being told  is worse 	.	...what is a thing...	...what is every thing...	...what is the thing...
37594:57	if you had *-1 to, if you had *-2 to bet on who *t*-3 would be in the world series, i mean it would be really tough.	###you know what i think 0 *t*-1 is remarkable is, uh,###it seems that what you really need *-1 to do *t*-2 *-3 to win though, is * to have a team that *t*-4 has reasonable talent and has some people that *t*-5 have, have, have real breakthrough years.###speakera59.###exactly,###yeah.###speakerb60.### and, and the question is how do you forecast that *t*-1,###speakera61.###you can't *?*.###speakerb62.	who	yes		who *t*-3 would be in the world series	yes	if you had *-1 to, if you had *-2 to bet on , i mean it would be really tough 	.	...who is a person...	...who is every person...	...who is the person...
88496:36	my nine year old i've decided *-1 to teach her how * to type * using the computer *t*-2,	###speakera109.###yeah.###speakerb110.###i'm,###and they just talked to the other day other day about * setting something up again###so hopefully pretty soon we'll at least have the word processing.###speakera111.###uh-huh.###yeah.###speakerb112.	how	no	no	how * to type * using the computer *t*-2	yes	my nine year old i've decided *-1 to teach her  	,	...what is a way...	...what is every way...	...what is the way...
63740:135	i, i wonder about some of the prod-, products that they don't take *t*-1, like some of the plastics and things that they don't take *t*-2. uh, why, why they couldn't do more recycling with those *t*-3.	###but i did exceeding well.###i was surprised.###but i didn't realize that our garbage isn't being decomposed *-1.###that was a shocker to me.###speakera55.###yeah,###well there are a lot of things that *t*-1 aren't *?*,###i'm,###that's, uh, one of the things 0 i wonder about *t*-1,###uh, one of the questions was, do you think 0 more *ich*-2 should be done *-1, or something else.	why	yes		why, why they couldn't do more recycling with those *t*-3	yes	i, i wonder about some of the prod-, products that they don't take *t*-1, like some of the plastics and things that they don't take *t*-2  uh,  	.	...what is a reason...	...what is every reason...	...what is the reason...
176749:52	we don't, we, we weren't sure how * to do that *t*-1	### that, that was fairly large undertaking.### a, a, it's a bedroom and a walk-in closet and a bathroom all on one side of the house.###speakera5.###* did the framing and all?###speakerb6.###oh, we did it all except for the sheetrocking.###speakera7.###huh.###speakerb8.###that was the only thing 0 we didn't, you know, * putting the ceiling up and things like that	how	no	no	how * to do that *t*-1	yes	w  don't, w , w  w r n't sur 	e	...what is a way...	...what is every way...	...what is the way...
94111:48	i'm sure 0 location's really important as far as * figuring out where one ought *-2 to be *t*-1.	###speakerb18.###uh-huh.###speakera19.###but, uh, this one has been well organized###and in fact it used *-1 to be at lake brownwood,###and now it's lake texoma, because that's more central location 0 for people from oklahoma and texas to come to *t*-1.###speakerb20.###uh-huh.###speakera21.###speakerb22.	where	yes		where one ought *-2 to be *t*-1	yes	i'm sure 0 location's really important as far as * figuring out  	.	...what is a place...	...what is every place...	...what is the place...
70407:24	his mother comes in and says, why did you let him play in the dirt *t*-1,	###and they enjoy where they're living *t*-1?###speakerb96.###we'll,###he's nine months old.###speakera97.###oh, so he doesn't know, right.###i guess, 0 he's a big help out in your garden.###right.###speakerb98.###he likes *-1 to dig around a little bit.	why	no	yes	why did you let him play in the dirt *t*-1	no	his mother comes in and says   	,	...what is a reason...	...what is every reason...	...what is the reason...
69982:43	and we thought well, we'll take advantage of it and see what all the pacific coast is like *t*-1.	###yeah.###probably the pacific breezes make a lot of difference,###speakerb122.###uh-huh.###it does###and the air doesn't feel anything like it does along the gulf coast region.###but you, um,###but we like it###so it's a nice change.###so we'll be here a couple of years	what	no	yes	what all the pacific coast is like *t*-1	no	and we thought well, we'll take advantage of it and see  	.	...what is a thing...	...what is every thing...	...what is the thing...
