Item_ID,Sentence,HaveNeedTo,Finite,ModalPresent,QuestionType,DegreeQ,SubjectAuxInv,WhAll,WhAdvP,MatrixNegPresent,EmbeddedNegPresent,SbarNomPresent,QuantifiedSubject,QuantifiedPredicate,Wh,MatrixSubject,MatrixNegation,InvertedAuxVerb,MatrixPredAux,MatrixPredVerb,MatrixPredOther,MatrixPredParticle,MatrixPred2,Modal,EmbeddedSubject,EmbeddedNegation,Verb1,Verb2,Verb3,DeterminerSubject,DeterminerNonSubject,FullWhPhrase,JustMatrixClause,DeterminerSubjPresent,DeterminerNonSubjPresent,WhNode,WhParse,Question,SentenceParse,WhPhaseType,IdentityQ
24885:14,"i can see where that wouldn't be very good for a, a kid *t*-1, you know,",no,,yes,embedded,no,,,yes,yes,,,,,where,i,n't,,can,see,,,,would,that,,be,very,good,that,that,,"i can see where that wouldn't be very good for a, a kid *t*-1, you know,",yes,yes,,(WRB where),"where that wouldn't be very good for a, a kid *t*-1","(TOP (S (NP-SBJ (PRP I)) (VP (MD can) (VP (VB see) (SBAR (WHADVP-1 (WRB where)) (S (NP-SBJ (DT that)) (VP (MD would) (RB n't) (VP (VB be) (ADJP-PRD (RB very) (JJ good) (PP (IN for) (EDITED (RM (-DFL- \[)) (NP-UNF (DT a)) (, ,) (IP (-DFL- \+))) (NP (DT a) (RS (-DFL- \])) (NN kid)))) (ADVP (-NONE- *T*-1)))))) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know)))))) (, ,) (-DFL- E_S)))",monomorphemic,no
48296:72,"um, and i don't think 0 i probably ever would *?*, um, although i would like *-1 to know how *-2 to handle one *t*-3,",no,no,no,embedded,no,,,yes,yes,,,,one,how,*-1,n't,,would,know,,,,,*-2,,handle,,,,,,*-1 to know how *-2 to handle one *t*-3,no,no,,(WRB how),how *-2 to handle one *t*-3,"(TOP (S (INTJ (UH um)) (, ,) (CC and) (NP-SBJ (PRP I)) (VP (VBP do) (RB n't) (VP (VB think) (SBAR (-NONE- 0) (S (NP-SBJ (PRP I)) (ADVP (RB probably)) (ADVP-TMP (RB ever)) (VP (MD would) (VP (-NONE- *?*) (, ,) (INTJ (UH um)) (, ,))))) (SBAR-ADV (IN although) (S (NP-SBJ-1 (PRP I)) (VP (MD would) (VP (VB like) (S (NP-SBJ-2 (-NONE- *-1)) (VP (TO to) (VP (VB know) (SBAR (WHADVP-3 (WRB how)) (S (NP-SBJ (-NONE- *-2)) (VP (TO to) (VP (VB handle) (NP (CD one)) (ADVP-MNR (-NONE- *T*-3))))))))))))))) (, ,) (-DFL- E_S)))",monomorphemic,no
45515:39,"they're always up where they don't, where they're not supposed *-1 to be *t*-2.",no,yes,no,embedded,no,,,yes,yes,yes,,,,where,they,n't,,,,,'re,,,they,not,'re,not,supposed,,,where,"they're always up where they don't, where they're not supposed *-1 to be *t*-2.",no,no,,(WRB where),"where they don't, where they're not supposed *-1 to be *t*-2","(TOP (S (NP-SBJ (PRP They)) (VP (VBP 're) (ADVP-TMP (RB always)) (PP-LOC-PRD (IN up) (SBAR (EDITED (RM (-DFL- \[)) (SBAR (WHADVP (WRB where)) (S (NP-SBJ (PRP they)) (VP-UNF (VBP do) (RB n't)))) (, ,) (IP (-DFL- \+))) (WHADVP-2 (WRB where)) (S (NP-SBJ-1 (PRP they)) (VP (VBP 're) (RB not) (RS (-DFL- \])) (VP (VBN supposed) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB be) (ADVP-LOC-PRD (-NONE- *T*-2))))))))))) (. .) (-DFL- E_S)))",monomorphemic,no
119546:36,"well, * let me just start by *-2 asking what you think *t*-1 of this middle east affair 0 we've got *t*-3 going on?",no,yes,no,embedded,no,,,,,,,,,what,*-2,,,,asking,,,,,you,,think,'ve,got,,this middle east affair 0 we've got *t*-3 going on,what,*-2 asking what you think *t*-1 of this middle east affair 0 we've got *t*-3 going on,no,no,,(WP what),what you think *t*-1 of this middle east affair 0 we've got *t*-3 going on,"(TOP (S-IMP (INTJ (UH Well)) (, ,) (NP-SBJ (-NONE- *)) (VP (VB let) (S (NP-SBJ-2 (PRP me)) (ADVP (RB just)) (VP (VB start) (PP (IN by) (S-NOM (NP-SBJ (-NONE- *-2)) (VP (VBG asking) (SBAR (WHNP-1 (WP what)) (S (NP-SBJ (PRP you)) (VP (VBP think) (NP (-NONE- *T*-1)) (PP (IN of) (NP (NP (DT this) (NNP Middle) (NNP East) (NN affair)) (SBAR (WHNP-3 (-NONE- 0)) (S (NP-SBJ (PRP we)) (VP (VBP 've) (VP (VBN got) (S (NP-SBJ (-NONE- *T*-3)) (VP (VBG going) (PRT (RP on))))))))))))))))))) (. ?) (-DFL- E_S)))",monomorphemic,no
172447:43,"the old-timers, even the people who *t*-1 are technologists don't know how *-2 to operate these electronic things like v c r --s and whatnot *t*-3",no,no,no,embedded,no,,,yes,yes,,,,,how,"the old-timers, even the people who *t*-1 are technologists",whatnot,,do,know,,,,,*-2,,operate,electronic,,,these electronic things like v c r --s and whatnot,,"the old-timers, even the people who *t*-1 are technologists don't know how *-2 to operate these electronic things like v c r --s and whatnot *t*-3",no,no,,(WRB how),how *-2 to operate these electronic things like v c r --s and whatnot *t*-3,"(TOP (S (NP-SBJ-2 (NP (DT the) (NNS old-timers)) (, ,) (NP (NP (RB even) (DT the) (NNS people)) (SBAR (WHNP-1 (WP who)) (S (NP-SBJ (-NONE- *T*-1)) (VP (VBP are) (NP-PRD (NNS technologists))))))) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (WHADVP-3 (WRB how)) (S (NP-SBJ (-NONE- *-2)) (VP (TO to) (VP (VB operate) (NP (NP (DT these) (JJ electronic) (NNS things)) (PP (IN like) (NP (NP (NN V) (NN C) (NN R) (NNS -s)) (CC and) (NP (WP whatnot))))) (ADVP-MNR (-NONE- *T*-3)))))))) (-DFL- E_S)))",monomorphemic,no
83856:16,i do not know what they are called *-1 *t*-2.,no,yes,no,embedded,no,,,,yes,,,,called,what,i,not,,do,know,,,,,they,,are,called,,,,,i do not know what they are called *-1 *t*-2.,no,no,,(WP what),what they are called *-1 *t*-2,(TOP (S (NP-SBJ (PRP I)) (VP (VBP do) (RB not) (VP (VB know) (SBAR (WHNP-2 (WP what)) (S (NP-SBJ-1 (PRP they)) (VP (VBP are) (VP (VBN called) (S (NP-SBJ (-NONE- *-1)) (NP-PRD (-NONE- *T*-2))))))))) (. .) (-DFL- E_S))),monomorphemic,no
145166:115,"actually spring semester a year from now he's going *-1 to have *-2 to be in child care f-, uh, five days a week more than likely. uh, depending on how my class schedule runs *t*-3",no,yes,no,embedded,no,,,yes,,,,,,how,he,,,,,,depending,,,my class schedule,,runs,,,,,how,"actually spring semester a year from now he's going *-1 to have *-2 to be in child care f-, uh, five days a week more than likely. uh, depending on how my class schedule runs *t*-3",no,no,,(WRB how),how my class schedule runs *t*-3,"(TOP (S (ADVP (RB actually)) (NP-TMP (NN spring) (NN semester)) (NP-TMP (NP (DT a) (NN year)) (PP (IN from) (ADVP-TMP (RB now)))) (NP-SBJ-1 (PRP he)) (VP (BES 's) (VP (VBG going) (S (NP-SBJ-2 (-NONE- *-1)) (VP (TO to) (VP (VB have) (S (NP-SBJ (-NONE- *-2)) (VP (TO to) (VP (VB be) (PP-PRD (IN in) (NP (NN child) (NN care))) (EDITED (RM (-DFL- \[)) (NP-TMP-UNF (CD f-)) (, ,) (IP (-DFL- \+))) (INTJ (UH uh)) (, ,) (NP-TMP (NP (CD five) (RS (-DFL- \])) (NNS days)) (NP-ADV (DT a) (NN week))))))))) (ADVP (RBR more) (PP (IN than) (ADJP (JJ likely)))) (. .) (INTJ (UH Uh)) (, ,) (PP (VBG depending) (PP (IN on) (SBAR (WHADVP-3 (WRB how)) (S (NP-SBJ (PRP$ my) (NN class) (NN schedule)) (VP (VBZ runs) (ADVP-MNR (-NONE- *T*-3))))))))) (-DFL- E_S)))",monomorphemic,no
15580:42,"and, but, you know, you could tell when it was coming *t*-1.",no,yes,no,embedded,no,,,yes,,,,,,when,you,,,could,tell,,,,,it,,was,coming,,,,,"and, but, you know, you could tell when it was coming *t*-1.",no,no,,(WRB when),when it was coming *t*-1,"(TOP (S (EDITED (RM (-DFL- \[)) (CC and) (, ,) (IP (-DFL- \+))) (CC but) (, ,) (RS (-DFL- \])) (PRN (S (NP-SBJ (PRP you)) (VP (VBP know))) (, ,)) (NP-SBJ (PRP you)) (VP (MD could) (VP (VB tell) (SBAR (WHADVP-1 (WRB when)) (S (NP-SBJ (PRP it)) (VP (VBD was) (VP (VBG coming) (ADVP-TMP (-NONE- *T*-1)))))))) (. .) (-DFL- E_S)))",monomorphemic,no
21393:64,"and, you know, you kind of, you're wondering, you know, well when did this happen *t*-1?",no,yes,no,embedded,no,yes,,yes,,,,,,when,you,,,'re,wondering,,,,,this,,did,happen,,this,this,,"and, you know, you kind of, you're wondering, you know, well when did this happen *t*-1?",yes,yes,,(WRB when),well when did this happen *t*-1,"(TOP (S (CC and) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know))) (, ,)) (EDITED (RM (-DFL- \[)) (S-UNF (NP-SBJ (PRP you)) (ADVP (RB kind) (RB of))) (, ,) (IP (-DFL- \+))) (NP-SBJ (PRP you)) (VP (VBP 're) (VP (VBG wondering) (, ,) (RS (-DFL- \])) (PRN (S (NP-SBJ (PRP you)) (VP (VBP know))) (, ,)) (SBARQ-SEZ (INTJ (UH well)) (WHADVP-1 (WRB when)) (SQ (VBD did) (NP-SBJ (DT this)) (VP (VB happen) (ADVP-TMP (-NONE- *T*-1))))))) (. ?) (-DFL- E_S)))",monomorphemic,no
60635:14,"* pick out where you want *-1 to live *t*-2,",no,yes,no,embedded,no,,,yes,,,,,,where,*,,,,pick,,,,,you,,want,live,,,,,"* pick out where you want *-1 to live *t*-2,",no,no,,(WRB where),where you want *-1 to live *t*-2,"(TOP (S-IMP (NP-SBJ (-NONE- *)) (VP (VB pick) (PRT (RP out)) (SBAR (WHADVP-2 (WRB where)) (S (NP-SBJ-1 (PRP you)) (VP (VBP want) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB live) (ADVP-LOC (-NONE- *T*-2))))))))) (, ,) (-DFL- E_S)))",monomorphemic,no
